id,WHO,WHAT-murder,WHAT-rape,WHAT-sexual_assault,WHAT-abuse,WHAT-harassment,WHAT-fear,WHAT-disgust/sadness/anger
989982358278459393,3,,,,,,,
991164008630833152,3,,,,,,,
991951240794865664,4,,,,,,,
990007769729306625,3,,,,,,,
991196914971496448,3,,,,,,,
991748428127506432,2,,,,,,,
991037043194191872,3,,,,,,,
992043061432766465,1,,,,1,,,
991331050675728384,3,,,,,,,
990813693293326336,3,,,,,,,
991402333111275520,4,,,,,,,
990994200576454656,2,,,,,1,,
990161865023123456,3,,,,,,,
990758520122433536,1,,,,,1,,
991335262612582405,4,,,,,,,
993500479912075265,4,,,,,,,
991035312624324608,3,,,,,,,
990345666986725377,1,,,,,,,
990865846863048705,1,,,,,1,,
990300138181742592,1,,,1,,,,
990787896050442240,1,,,,,,1,
991057928227577857,1,,,,,,,
991192111889440769,5,,,,,,,
991129314342178816,2,,1,,,,,1
990871792863588353,3,,,,,,,
991128636257423360,1,,,1,,,,
990872975405670401,3,,,,,,,1
991058026810425344,4,,,,,,,
989982274685980672,1,,,,,1,,
989957919318986752,1,,,,,1,,
989929897861828608,4,,,,,,,
991191277923373056,3,,,,,,,1
990321694266089472,1,,,1,,1,,
990791552971796480,2,,,1,,1,,
990296648298442753,1,,,,,,,1
991851439990460416,4,,,,,,,
992828267731275784,5,,,,,,,
990807504379699200,3,,,,,,,1
989966474617016321,3,,,,,,,1
991112613571547137,5,,,,,,,
990309822112419855,1,,,1,,,,
990002510952792064,1,,,1,,1,,
990803827052949504,1,,,,,1,,
991044340670713859,3,,,,,,,1
992078289194901505,3,,,,,,,
990940434166927360,3,,,,,,,
991501699541094400,5,,,,,,,
991042396472401920,3,,,,,,,1
990250241562734592,1,,,,,,,
991422786739597312,3,,,,,,,
991179810088128512,4,,,,,,,
990245217755435009,1,,,,,1,,
989903469590056965,1,,,1,,,,
991080476164141059,1,,,1,,,,
989982295259058176,1,,,1,,1,,
993354396405784577,3,,,,,,,
990311569513992197,1,,,,,,,1
989946196327325702,3,,,,,,,
991352905528741890,2,,1,,,1,,
989953194242596864,3,,,,,,,1
990978487468134400,2,,1,,,,,
991486952749916161,1,,,1,,,,
991234893261737984,4,,,,,,,
991235731115954176,3,,,,,,,
990232662798471171,3,,,,,,,1
990211938377445377,3,,,,,,,1
991196175142473728,2,,,1,,,,
991031938684243969,3,,,,,,,
991078376633978880,1,,1,,,,,
991380713256685568,4,,,,,,,
990242227346661381,1,,,,,,,1
990002614220795904,1,,,,,,,
